,generation
Inner Mongolia,139535123.48816252
Heilongjiang,41409630.261006296
Jilin,23765556.821383648
Liaoning,13467315.011320757
Gansu,32390730.534588028
Ningxia,8380751.862264152
Qinghai,23001844.682964437
Shaanxi,11202714.345283018
Xinjiang,170940977.97298917
Beijing,0.0
Hebei,18879015.471698117
Shandong,18658283.5408805
Shanxi,7752574.70754717
Tianjin,0.0
Chongqing,0.0
Guizhou,4072746.72610063
Sichuan,13142468.162893085
Tibet,67422703.84055202
Guangdong,26372982.89308177
Guangxi,15024412.717295593
Hainan,10662590.039245283
Yunnan,8409190.540251574
Henan,13362269.052830188
Hubei,12204356.712578615
Hunan,7194297.681761007
Jiangxi,5539412.839622642
Anhui,11803062.277987424
Fujian,15643114.609433962
Jiangsu,6895138.289308175
Shanghai,0.0
Zhejiang,12106584.446540885
