province,2020,2021
Beijing,1140,1233
Tianjin,875,982
Hebei,3934,4294
Shanxi,2342,2608
Inner Mongolia,3900,3957
Liaoning,2423,2576
Jilin,805,843
Heilongjiang,1014,1089
Shanghai,1576,1750
Jiangsu,6374,7101
Zhejiang,4830,5514
Anhui,2428,2715
Fujian,2483,2837
Jiangxi,1627,1863
Shandong,6940,7383
Henan,3392,3647
Hubei,2144,2472
Hunan,1929,2155
Guangdong,6926,7867
Guangxi,2029,2238
Hainan,363,405
Chongqing,1186,1341
Sichuan,2865,3275
Guizhou,1586,1743
Yunan,2025,2139
Tibet,82,101
Shaanxi,1741,2217
Gansu,1376,1495
Qinghai,742,858
Ningxia,1038,1158
Xinjiang,3099,3460
