Province,rest
Beijing,0.0
Shanghai,0.0
Tianjin,0.0
Chongqing,0.0
Guizhou,4072746.72610063
Jiangxi,5539412.839622642
Jiangsu,6895138.2893081745
Hunan,7194297.681761007
Shanxi,7752574.70754717
Ningxia,8380751.862264152
Yunnan,8409190.540251574
Hainan,10662590.039245283
Shaanxi,11202714.345283018
Anhui,11803062.277987424
Zhejiang,12106584.446540883
Hubei,12204356.712578615
Sichuan,13142468.162893083
Henan,13362269.052830188
Liaoning,13467315.011320755
Guangxi,15024412.717295593
Fujian,15643114.609433962
Shandong,18658283.5408805
Hebei,18879015.471698113
Jilin,23765556.821383648
Guangdong,26372982.893081766
Heilongjiang,41409630.261006296
Gansu,87700312.26603775
Qinghai,128813477.38113207
Tibet,147978983.3755346
Inner Mongolia,388465704.0773585
Xinjiang,565796019.8886793
