Province,P_Wind,P_Onshore wind,P_Offshore wind,P_PV,P_Central PV,P_Distributed PV,W_Wind,W_PV,W_Electricity consumption,W_Electricity potential,ratio
Inner Mongolia,2697,2697,0,9460,9230,230,7143.0,14167.0,389.90000000000003,21310.0,0.018296574378226186
Heilongjiang,706,706,0,301,149,152,1937.0,394.0,101.4,2331.0,0.043500643500643504
Jilin,304,304,0,356,243,113,861.0,466.0,80.5,1327.0,0.06066314996232103
Liaoning,289,176,113,191,17,174,777.0,238.0,242.3,1015.0,0.23871921182266012
Gansu,321,321,0,2758,2682,76,718.0,4128.0,137.6,4846.0,0.0283945522080066
Ningxia,82,82,0,282,253,29,241.0,391.0,103.8,632.0,0.1642405063291139
Qinghai,186,186,0,3914,3886,28,379.0,6491.0,74.2,6870.0,0.010800582241630278
Shaanxi,165,165,0,372,298,75,448.0,458.0,174.1,906.0,0.19216335540838853
Xinjiang,618,618,0,21198,21054,144,1293.0,29265.0,299.8,30558.0,0.009810851495516722
Beijing,0,0,0,61,2,59,0.0,72.0,114.0,72.0,1.5833333333333333
Hebei,334,281,53,338,59,279,988.0,587.0,393.4,1575.0,0.24977777777777777
Shandong,596,296,300,417,21,395,1636.0,552.0,694.0,2188.0,0.3171846435100548
Shanxi,127,127,0,311,194,117,364.0,439.0,234.2,803.0,0.29165628891656287
Tianjin,15,11,4,42,0,42,42.0,50.0,87.5,92.0,0.9510869565217391
Chongqing,43,43,0,22,1,21,108.0,3.0,118.7,111.0,1.0693693693693693
Guizhou,109,109,0,104,76,28,296.0,105.0,158.6,401.0,0.39551122194513716
Sichuan,223,223,0,157,75,82,621.0,182.0,286.5,803.0,0.35678704856787047
Tibet,524,524,0,3332,3327,4,1375.0,6177.0,82.0,7552.0,0.010858050847457628
Guangdong,677,141,536,202,19,182,1977.0,257.0,692.6,2234.0,0.3100268576544315
Guangxi,250,181,69,187,101,86,708.0,222.0,202.5,930.0,0.21774193548387097
Hainan,246,45,201,29,10,19,563.0,33.0,36.2,596.0,0.06073825503355705
Yunnan,132,132,0,115,60,55,374.0,159.0,202.6,533.0,0.3801125703564728
Henan,291,291,0,303,14,289,869.0,377.0,339.2,1246.0,0.27223113964686996
Hubei,206,206,0,157,33,124,558.0,188.0,214.4,746.0,0.2873994638069705
Hunan,174,174,0,91,9,83,462.0,96.0,192.9,558.0,0.3456989247311828
Jiangxi,152,152,0,97,27,70,423.0,109.0,162.7,532.0,0.3058270676691729
Anhui,225,225,0,233,11,222,679.0,280.0,242.8,959.0,0.2531803962460897
Fujian,321,32,289,91,18,73,957.0,102.0,248.3,1059.0,0.23446647780925403
Jiangsu,441,177,264,302,5,297,1200.0,372.0,637.4,1572.0,0.405470737913486
Shanghai,55,10,45,38,0,37,150.0,51.0,157.6,201.0,0.7840796019900497
Zhejiang,429,50,379,112,4,108,1163.0,121.0,483.0,1284.0,0.37616822429906543
National,10948,8694,2254,45604,41878,3726,29308.0,66529.0,7511.0,95837.0,0.0783726535680374
